Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,2010 May,Import,Million Litres,40.7
Intake of Cows Milk by Creameries and Pasteurisers,2010 June,Domestic,Million Litres,664.9
Intake of Cows Milk by Creameries and Pasteurisers,2010 June,Import,Million Litres,32.3
Intake of Cows Milk by Creameries and Pasteurisers,2010 July,Domestic,Million Litres,623.3
Intake of Cows Milk by Creameries and Pasteurisers,2010 July,Import,Million Litres,30.9
Intake of Cows Milk by Creameries and Pasteurisers,2010 August,Domestic,Million Litres,562
Intake of Cows Milk by Creameries and Pasteurisers,2010 August,Import,Million Litres,32.4
Intake of Cows Milk by Creameries and Pasteurisers,2010 September,Domestic,Million Litres,490.7
Intake of Cows Milk by Creameries and Pasteurisers,2010 September,Import,Million Litres,28.1
Intake of Cows Milk by Creameries and Pasteurisers,2010 October,Domestic,Million Litres,437
Intake of Cows Milk by Creameries and Pasteurisers,2010 October,Import,Million Litres,27
Intake of Cows Milk by Creameries and Pasteurisers,2010 November,Domestic,Million Litres,303.1
Intake of Cows Milk by Creameries and Pasteurisers,2010 November,Import,Million Litres,28.2
Intake of Cows Milk by Creameries and Pasteurisers,2010 December,Domestic,Million Litres,176.1
Intake of Cows Milk by Creameries and Pasteurisers,2010 December,Import,Million Litres,31.9
Intake of Cows Milk by Creameries and Pasteurisers,2011 January,Domestic,Million Litres,146.7
Intake of Cows Milk by Creameries and Pasteurisers,2011 January,Import,Million Litres,28.8
Intake of Cows Milk by Creameries and Pasteurisers,2011 February,Domestic,Million Litres,217.8
Intake of Cows Milk by Creameries and Pasteurisers,2011 February,Import,Million Litres,28.5
Intake of Cows Milk by Creameries and Pasteurisers,2011 March,Domestic,Million Litres,448.5
Intake of Cows Milk by Creameries and Pasteurisers,2011 March,Import,Million Litres,29.2
Intake of Cows Milk by Creameries and Pasteurisers,2011 April,Domestic,Million Litres,634.5
Intake of Cows Milk by Creameries and Pasteurisers,2011 April,Import,Million Litres,32.7
Intake of Cows Milk by Creameries and Pasteurisers,2011 May,Domestic,Million Litres,738
Intake of Cows Milk by Creameries and Pasteurisers,2011 May,Import,Million Litres,35.7
Intake of Cows Milk by Creameries and Pasteurisers,2011 June,Domestic,Million Litres,701
Intake of Cows Milk by Creameries and Pasteurisers,2011 June,Import,Million Litres,34.8
Intake of Cows Milk by Creameries and Pasteurisers,2011 July,Domestic,Million Litres,669.8
Intake of Cows Milk by Creameries and Pasteurisers,2011 July,Import,Million Litres,32.4
Intake of Cows Milk by Creameries and Pasteurisers,2011 August,Domestic,Million Litres,580
Intake of Cows Milk by Creameries and Pasteurisers,2011 August,Import,Million Litres,27.7
Intake of Cows Milk by Creameries and Pasteurisers,2011 September,Domestic,Million Litres,483.5
Intake of Cows Milk by Creameries and Pasteurisers,2011 September,Import,Million Litres,24.7
Intake of Cows Milk by Creameries and Pasteurisers,2011 October,Domestic,Million Litres,377.7
Intake of Cows Milk by Creameries and Pasteurisers,2011 October,Import,Million Litres,26.7
Intake of Cows Milk by Creameries and Pasteurisers,2011 November,Domestic,Million Litres,234.4
Intake of Cows Milk by Creameries and Pasteurisers,2011 November,Import,Million Litres,26.8
Intake of Cows Milk by Creameries and Pasteurisers,2011 December,Domestic,Million Litres,145.2
Intake of Cows Milk by Creameries and Pasteurisers,2011 December,Import,Million Litres,28.2
Intake of Cows Milk by Creameries and Pasteurisers,2012 January,Domestic,Million Litres,133.3
Intake of Cows Milk by Creameries and Pasteurisers,2012 January,Import,Million Litres,32.9
Intake of Cows Milk by Creameries and Pasteurisers,2012 February,Domestic,Million Litres,236.6
Intake of Cows Milk by Creameries and Pasteurisers,2012 February,Import,Million Litres,29.8
Intake of Cows Milk by Creameries and Pasteurisers,2012 March,Domestic,Million Litres,473
Intake of Cows Milk by Creameries and Pasteurisers,2012 March,Import,Million Litres,32.3
Intake of Cows Milk by Creameries and Pasteurisers,2012 April,Domestic,Million Litres,637.3
Intake of Cows Milk by Creameries and Pasteurisers,2012 April,Import,Million Litres,38.9
Intake of Cows Milk by Creameries and Pasteurisers,2012 May,Domestic,Million Litres,735
Intake of Cows Milk by Creameries and Pasteurisers,2012 May,Import,Million Litres,42.3
Intake of Cows Milk by Creameries and Pasteurisers,2012 June,Domestic,Million Litres,684.3
Intake of Cows Milk by Creameries and Pasteurisers,2012 June,Import,Million Litres,40.5
Intake of Cows Milk by Creameries and Pasteurisers,2012 July,Domestic,Million Litres,609.8
Intake of Cows Milk by Creameries and Pasteurisers,2012 July,Import,Million Litres,39.7
Intake of Cows Milk by Creameries and Pasteurisers,2012 August,Domestic,Million Litres,546.8
Intake of Cows Milk by Creameries and Pasteurisers,2012 August,Import,Million Litres,29.5
Intake of Cows Milk by Creameries and Pasteurisers,2012 September,Domestic,Million Litres,446.6
Intake of Cows Milk by Creameries and Pasteurisers,2012 September,Import,Million Litres,26.7
Intake of Cows Milk by Creameries and Pasteurisers,2012 October,Domestic,Million Litres,364.2
Intake of Cows Milk by Creameries and Pasteurisers,2012 October,Import,Million Litres,28.3
Intake of Cows Milk by Creameries and Pasteurisers,2012 November,Domestic,Million Litres,227.6
Intake of Cows Milk by Creameries and Pasteurisers,2012 November,Import,Million Litres,33.9
Intake of Cows Milk by Creameries and Pasteurisers,2012 December,Domestic,Million Litres,138
Intake of Cows Milk by Creameries and Pasteurisers,2012 December,Import,Million Litres,31.1
Intake of Cows Milk by Creameries and Pasteurisers,2013 January,Domestic,Million Litres,125.5
Intake of Cows Milk by Creameries and Pasteurisers,2013 January,Import,Million Litres,34.1
Intake of Cows Milk by Creameries and Pasteurisers,2013 February,Domestic,Million Litres,222.9
Intake of Cows Milk by Creameries and Pasteurisers,2013 February,Import,Million Litres,35
Intake of Cows Milk by Creameries and Pasteurisers,2013 March,Domestic,Million Litres,468.1
Intake of Cows Milk by Creameries and Pasteurisers,2013 March,Import,Million Litres,37.1
Intake of Cows Milk by Creameries and Pasteurisers,2013 April,Domestic,Million Litres,568.7
Intake of Cows Milk by Creameries and Pasteurisers,2013 April,Import,Million Litres,37.7
Intake of Cows Milk by Creameries and Pasteurisers,2013 May,Domestic,Million Litres,733.2
Intake of Cows Milk by Creameries and Pasteurisers,2013 May,Import,Million Litres,39.1
Intake of Cows Milk by Creameries and Pasteurisers,2013 June,Domestic,Million Litres,700.9
Intake of Cows Milk by Creameries and Pasteurisers,2013 June,Import,Million Litres,39.8
Intake of Cows Milk by Creameries and Pasteurisers,2013 July,Domestic,Million Litres,652.7
Intake of Cows Milk by Creameries and Pasteurisers,2013 July,Import,Million Litres,36.9
Intake of Cows Milk by Creameries and Pasteurisers,2013 August,Domestic,Million Litres,592.7
Intake of Cows Milk by Creameries and Pasteurisers,2013 August,Import,Million Litres,31.1
Intake of Cows Milk by Creameries and Pasteurisers,2013 September,Domestic,Million Litres,498.5
Intake of Cows Milk by Creameries and Pasteurisers,2013 September,Import,Million Litres,26.8
Intake of Cows Milk by Creameries and Pasteurisers,2013 October,Domestic,Million Litres,418.3
Intake of Cows Milk by Creameries and Pasteurisers,2013 October,Import,Million Litres,28.3
Intake of Cows Milk by Creameries and Pasteurisers,2013 November,Domestic,Million Litres,276.4
Intake of Cows Milk by Creameries and Pasteurisers,2013 November,Import,Million Litres,32.4
Intake of Cows Milk by Creameries and Pasteurisers,2013 December,Domestic,Million Litres,164.8
Intake of Cows Milk by Creameries and Pasteurisers,2013 December,Import,Million Litres,32.2
Intake of Cows Milk by Creameries and Pasteurisers,2014 January,Domestic,Million Litres,132
Intake of Cows Milk by Creameries and Pasteurisers,2014 January,Import,Million Litres,38.8
Intake of Cows Milk by Creameries and Pasteurisers,2014 February,Domestic,Million Litres,214
Intake of Cows Milk by Creameries and Pasteurisers,2014 February,Import,Million Litres,37.6
Intake of Cows Milk by Creameries and Pasteurisers,2014 March,Domestic,Million Litres,470.7
Intake of Cows Milk by Creameries and Pasteurisers,2014 March,Import,Million Litres,40.8
Intake of Cows Milk by Creameries and Pasteurisers,2014 April,Domestic,Million Litres,697
Intake of Cows Milk by Creameries and Pasteurisers,2014 April,Import,Million Litres,43.6
Intake of Cows Milk by Creameries and Pasteurisers,2014 May,Domestic,Million Litres,785.5
Intake of Cows Milk by Creameries and Pasteurisers,2014 May,Import,Million Litres,51.1
Intake of Cows Milk by Creameries and Pasteurisers,2014 June,Domestic,Million Litres,732.4
Intake of Cows Milk by Creameries and Pasteurisers,2014 June,Import,Million Litres,45.4
Intake of Cows Milk by Creameries and Pasteurisers,2014 July,Domestic,Million Litres,688
Intake of Cows Milk by Creameries and Pasteurisers,2014 July,Import,Million Litres,44.8
Intake of Cows Milk by Creameries and Pasteurisers,2014 August,Domestic,Million Litres,608.2
Intake of Cows Milk by Creameries and Pasteurisers,2014 August,Import,Million Litres,40.9
Intake of Cows Milk by Creameries and Pasteurisers,2014 September,Domestic,Million Litres,519.2
Intake of Cows Milk by Creameries and Pasteurisers,2014 September,Import,Million Litres,38.6
Intake of Cows Milk by Creameries and Pasteurisers,2014 October,Domestic,Million Litres,426.3
Intake of Cows Milk by Creameries and Pasteurisers,2014 October,Import,Million Litres,37.4
Intake of Cows Milk by Creameries and Pasteurisers,2014 November,Domestic,Million Litres,237.7
Intake of Cows Milk by Creameries and Pasteurisers,2014 November,Import,Million Litres,43.9
Intake of Cows Milk by Creameries and Pasteurisers,2014 December,Domestic,Million Litres,137.6
Intake of Cows Milk by Creameries and Pasteurisers,2014 December,Import,Million Litres,48.2
Intake of Cows Milk by Creameries and Pasteurisers,2015 January,Domestic,Million Litres,114.8
Intake of Cows Milk by Creameries and Pasteurisers,2015 January,Import,Million Litres,50.7
Intake of Cows Milk by Creameries and Pasteurisers,2015 February,Domestic,Million Litres,215.1
Intake of Cows Milk by Creameries and Pasteurisers,2015 February,Import,Million Litres,47.5
Intake of Cows Milk by Creameries and Pasteurisers,2015 March,Domestic,Million Litres,454
Intake of Cows Milk by Creameries and Pasteurisers,2015 March,Import,Million Litres,49.8
Intake of Cows Milk by Creameries and Pasteurisers,2015 April,Domestic,Million Litres,784.3
Intake of Cows Milk by Creameries and Pasteurisers,2015 April,Import,Million Litres,53
Intake of Cows Milk by Creameries and Pasteurisers,2015 May,Domestic,Million Litres,875.1
Intake of Cows Milk by Creameries and Pasteurisers,2015 May,Import,Million Litres,60.5
Intake of Cows Milk by Creameries and Pasteurisers,2015 June,Domestic,Million Litres,819.2
Intake of Cows Milk by Creameries and Pasteurisers,2015 June,Import,Million Litres,58.6
Intake of Cows Milk by Creameries and Pasteurisers,2015 July,Domestic,Million Litres,768.9
Intake of Cows Milk by Creameries and Pasteurisers,2015 July,Import,Million Litres,54.6
Intake of Cows Milk by Creameries and Pasteurisers,2015 August,Domestic,Million Litres,693.9
Intake of Cows Milk by Creameries and Pasteurisers,2015 August,Import,Million Litres,44
Intake of Cows Milk by Creameries and Pasteurisers,2015 September,Domestic,Million Litres,604.2
Intake of Cows Milk by Creameries and Pasteurisers,2015 September,Import,Million Litres,38.4
Intake of Cows Milk by Creameries and Pasteurisers,2015 October,Domestic,Million Litres,536.3
Intake of Cows Milk by Creameries and Pasteurisers,2015 October,Import,Million Litres,40.3
Intake of Cows Milk by Creameries and Pasteurisers,2015 November,Domestic,Million Litres,347.9
Intake of Cows Milk by Creameries and Pasteurisers,2015 November,Import,Million Litres,44.3
Intake of Cows Milk by Creameries and Pasteurisers,2015 December,Domestic,Million Litres,181.6
Intake of Cows Milk by Creameries and Pasteurisers,2015 December,Import,Million Litres,51.9
Intake of Cows Milk by Creameries and Pasteurisers,2016 January,Domestic,Million Litres,147.6
Intake of Cows Milk by Creameries and Pasteurisers,2016 January,Import,Million Litres,78.6
Intake of Cows Milk by Creameries and Pasteurisers,2016 February,Domestic,Million Litres,287.1
Intake of Cows Milk by Creameries and Pasteurisers,2016 February,Import,Million Litres,76
Intake of Cows Milk by Creameries and Pasteurisers,2016 March,Domestic,Million Litres,594.6
Intake of Cows Milk by Creameries and Pasteurisers,2016 March,Import,Million Litres,84.6
Intake of Cows Milk by Creameries and Pasteurisers,2016 April,Domestic,Million Litres,760.8
Intake of Cows Milk by Creameries and Pasteurisers,2016 April,Import,Million Litres,85.7
Intake of Cows Milk by Creameries and Pasteurisers,2016 May,Domestic,Million Litres,926.6
Intake of Cows Milk by Creameries and Pasteurisers,2016 May,Import,Million Litres,94.7
Intake of Cows Milk by Creameries and Pasteurisers,2016 June,Domestic,Million Litres,853.2
Intake of Cows Milk by Creameries and Pasteurisers,2016 June,Import,Million Litres,56.4
Intake of Cows Milk by Creameries and Pasteurisers,2016 July,Domestic,Million Litres,782.5
Intake of Cows Milk by Creameries and Pasteurisers,2016 July,Import,Million Litres,48.3
Intake of Cows Milk by Creameries and Pasteurisers,2016 August,Domestic,Million Litres,699.3
Intake of Cows Milk by Creameries and Pasteurisers,2016 August,Import,Million Litres,50.8
Intake of Cows Milk by Creameries and Pasteurisers,2016 September,Domestic,Million Litres,583.8
Intake of Cows Milk by Creameries and Pasteurisers,2016 September,Import,Million Litres,56.7
Intake of Cows Milk by Creameries and Pasteurisers,2016 October,Domestic,Million Litres,500.1
Intake of Cows Milk by Creameries and Pasteurisers,2016 October,Import,Million Litres,55.9
Intake of Cows Milk by Creameries and Pasteurisers,2016 November,Domestic,Million Litres,337.1
Intake of Cows Milk by Creameries and Pasteurisers,2016 November,Import,Million Litres,59.7
Intake of Cows Milk by Creameries and Pasteurisers,2016 December,Domestic,Million Litres,178.3
Intake of Cows Milk by Creameries and Pasteurisers,2016 December,Import,Million Litres,65.7
Intake of Cows Milk by Creameries and Pasteurisers,2017 January,Domestic,Million Litres,148.7
Intake of Cows Milk by Creameries and Pasteurisers,2017 January,Import,Million Litres,66.1
Intake of Cows Milk by Creameries and Pasteurisers,2017 February,Domestic,Million Litres,272.9
Intake of Cows Milk by Creameries and Pasteurisers,2017 February,Import,Million Litres,61.6
Intake of Cows Milk by Creameries and Pasteurisers,2017 March,Domestic,Million Litres,620.9
Intake of Cows Milk by Creameries and Pasteurisers,2017 March,Import,Million Litres,74.6
Intake of Cows Milk by Creameries and Pasteurisers,2017 April,Domestic,Million Litres,866.3
